Date,Open,High,Low,Close,Adj Close,Volume
2016-09-30,null,null,null,null,null,null
2016-10-31,4532.339844,4606.660156,4344.879883,4578.339844,4578.339844,2432198700
2016-11-30,4571.200195,4864.290039,4490.149902,4862.310059,4862.310059,2072752000
2016-12-31,4845.959961,4929.600098,4748.899902,4748.899902,4748.899902,1924959300
2017-01-31,4786.850098,4932.350098,4733.819824,4858.580078,4858.580078,1914789200
2017-02-28,4897.479980,5122.509766,4897.479980,5122.509766,5122.509766,2192831200
2017-03-31,5130.180176,5296.520020,4980.410156,5267.330078,5267.330078,2038144900
2017-04-30,5284.879883,5442.100098,5238.509766,5283.629883,5283.629883,2288415800
2017-05-31,5290.839844,5372.970215,5117.229980,5120.680176,5120.680176,1959945700
2017-06-30,5151.189941,5259.470215,5092.140137,5093.770020,5093.770020,1570416400
2017-07-31,5116.899902,5231.649902,4995.069824,5085.589844,5085.589844,1553280600
2017-08-31,5117.189941,5329.810059,5050.089844,5329.810059,5329.810059,1828550900
2017-09-30,5332.919922,5394.229980,5326.660156,5368.290039,5368.290039,939495100
2017-10-20,5389.479980,5392.089844,5369.799805,5372.270020,5372.270020,0
