"","id","title","observation_start","observation_end","frequency","units","seasonal_adjustment"
"47","PAYEMS","All Employees: Total Nonfarm Payrolls","1939-01-01","2018-01-01","Monthly","Thousands of Persons","Seasonally Adjusted"
"48","PCEPI","Personal Consumption Expenditures: Chain-type Price Index","1959-01-01","2018-01-01","Monthly","Index 2009=100","Seasonally Adjusted"
"49","PCEPILFE","Personal Consumption Expenditures Excluding Food and Energy (Chain-Type Price Index)","1959-01-01","2018-01-01","Monthly","Index 2009=100","Seasonally Adjusted"
"50","PCES","Personal Consumption Expenditures: Services","1959-01-01","2018-01-01","Monthly","Billions of Dollars","Seasonally Adjusted Annual Rate"
"51","PCOPPUSDM","Global price of Copper","1980-01-01","2017-06-01","Monthly","U.S. Dollars per Metric Ton","Not Seasonally Adjusted"
"52","PIORECRUSDM","Global price of Iron Ore","1980-01-01","2017-06-01","Monthly","U.S. Dollars per Metric Ton","Not Seasonally Adjusted"
"53","PNGASJPUSDM","Global price of LNG, Asia","1992-01-01","2017-06-01","Monthly","U.S. Dollars per Million Metric British Thermal Unit","Not Seasonally Adjusted"
"54","POILBREUSDM","Global price of Brent Crude","1980-01-01","2017-06-01","Monthly","U.S. Dollars per Barrell","Not Seasonally Adjusted"
"55","PSUNOUSDM","Global price of Sunflower Oil","1980-01-01","2017-06-01","Monthly","U.S. Dollars per Metric Ton","Not Seasonally Adjusted"
"56","PWHEAMTUSDM","Global price of Wheat","1980-01-01","2017-06-01","Monthly","U.S. Dollars per Metric Ton","Not Seasonally Adjusted"
"57","RRSFS","Advance Real Retail and Food Services Sales","1992-01-01","2018-01-01","Monthly","Millions of Dollars","Seasonally Adjusted"
"58","RSXFS","Advance Retail Sales: Retail (Excluding Food Services)","1992-01-01","2018-01-01","Monthly","Millions of Dollars","Seasonally Adjusted"
"73","S&P500","Standard & Poor's 500","1992-01-31","2016-12-30","Monthly","Index Points","Not Seasonally Adjusted"
"59","STICKCPIM679SFRBATL","Sticky Price Consumer Price Index","1967-03-01","2018-01-01","Monthly","3-Month Annualized Percent Change","Seasonally Adjusted"
"60","TCU","Capacity Utilization: Total Industry","1967-01-01","2018-01-01","Monthly","Percent of Capacity","Seasonally Adjusted"
"61","USCONS","All Employees: Construction","1939-01-01","2018-01-01","Monthly","Thousands of Persons","Seasonally Adjusted"
"62","USEHS","All Employees: Education and Health Services","1939-01-01","2018-01-01","Monthly","Thousands of Persons","Seasonally Adjusted"
"63","USFIRE","All Employees: Financial Activities","1939-01-01","2018-01-01","Monthly","Thousands of Persons","Seasonally Adjusted"
"64","USGOVT","All Employees: Government","1939-01-01","2018-01-01","Monthly","Thousands of Persons","Seasonally Adjusted"
"65","USINFO","All Employees: Information Services","1939-01-01","2018-01-01","Monthly","Thousands of Persons","Seasonally Adjusted"
"66","USPHCI","Coincident Economic Activity Index for the United States","1979-01-01","2017-12-01","Monthly","Index Jul 1992=100","Seasonally Adjusted"
"67","WPSFD49207","Producer Price Index by Commodity for Final Demand: Finished Goods","1947-04-01","2018-01-01","Monthly","Index 1982=100","Seasonally Adjusted"
"68","WTISPLC","Spot Crude Oil Price: West Texas Intermediate (WTI)","1946-01-01","2018-01-01","Monthly","Dollars per Barrel","Not Seasonally Adjusted"
"69","XTEITT01CNM156S","Ratio of Exports to Imports for China","1992-01-01","2017-10-01","Monthly","Percent","Seasonally Adjusted"
