Date,Open,High,Low,Close,Adj Close,Volume
1992-01-31,22075.859375,22373.080078,20485.720703,21338.810547,21338.810547,0
1992-02-29,21348.130859,21550.859375,19343.339844,19345.949219,19345.949219,0
1992-03-31,19325.470703,19325.470703,16572.460938,17390.710938,17390.710938,0
1992-04-30,17374.949219,19003.609375,17273.380859,18347.750000,18347.750000,0
1992-05-31,18327.679688,18502.609375,15641.610352,15951.730469,15951.730469,0
1992-06-30,15960.559570,17274.490234,15024.589844,15910.280273,15910.280273,0
1992-07-31,15902.750000,18168.810547,14194.400391,18061.119141,18061.119141,0
1992-08-31,18058.109375,19284.119141,17396.429688,17399.080078,17399.080078,0
1992-09-30,17422.470703,17714.039063,16675.230469,16767.400391,16767.400391,0
1992-10-31,16732.500000,17683.650391,15941.929688,17683.650391,17683.650391,0
1992-11-30,17675.029297,17787.560547,16891.939453,16924.949219,16924.949219,0
1992-12-31,16980.230469,17177.689453,16216.110352,17023.779297,17023.779297,0
1993-01-31,17037.519531,17419.179688,16750.880859,16953.349609,16953.349609,0
1993-02-28,16956.460938,19126.380859,16721.480469,18591.449219,18591.449219,0
1993-03-31,18595.519531,20919.179688,18526.650391,20919.179688,20919.179688,0
1993-04-30,20939.460938,21224.779297,20122.779297,20552.349609,20552.349609,0
1993-05-31,20531.869141,21222.769531,19039.550781,19590.000000,19590.000000,0
1993-06-30,19638.789063,20545.750000,19545.449219,20380.140625,20380.140625,0
1993-07-31,20392.740234,21029.699219,20231.320313,21026.599609,21026.599609,0
1993-08-31,20964.099609,21281.029297,19927.689453,20105.710938,20105.710938,0
1993-09-30,20096.609375,20529.550781,19443.539063,19702.970703,19702.970703,0
1993-10-31,19656.970703,19656.970703,15671.969727,16406.539063,16406.539063,0
1993-11-30,16449.939453,18052.210938,16216.820313,17417.240234,17417.240234,0
1993-12-31,17421.640625,20229.119141,17242.320313,20229.119141,20229.119141,0
1994-01-31,20256.330078,20526.449219,18768.980469,19997.199219,19997.199219,0
1994-02-28,20052.609375,20781.980469,19082.820313,19111.919922,19111.919922,0
1994-03-31,19161.630859,20494.599609,18896.480469,19725.250000,19725.250000,0
1994-04-30,19648.529297,21048.609375,19488.900391,20973.589844,20973.589844,0
1994-05-31,20988.900391,21573.210938,20168.529297,20643.929688,20643.929688,0
1994-06-30,20618.220703,20907.580078,19993.699219,20449.390625,20449.390625,0
1994-07-31,20422.179688,20875.779297,20271.349609,20628.529297,20628.529297,0
1994-08-31,20634.330078,20700.539063,19414.080078,19563.810547,19563.810547,0
1994-09-30,19579.720703,20176.640625,19487.699219,19989.599609,19989.599609,0
1994-10-31,19929.490234,19929.490234,18666.130859,19075.619141,19075.619141,0
1994-11-30,19061.210938,19833.220703,18822.560547,19723.060547,19723.060547,0
1994-12-31,19724.759766,19724.759766,17698.750000,18649.820313,18649.820313,0
1995-01-31,18646.919922,18868.929688,16518.460938,17053.429688,17053.429688,0
1995-02-28,17017.910156,17161.880859,15424.110352,16139.950195,16139.950195,0
1995-03-31,16079.639648,17110.400391,15256.059570,16806.750000,16806.750000,0
1995-04-30,16820.380859,17189.539063,15292.429688,15436.790039,15436.790039,0
1995-05-31,15480.570313,16015.929688,14376.080078,14517.400391,14517.400391,0
1995-06-30,14519.400391,17018.349609,14295.900391,16677.529297,16677.529297,0
1995-07-31,16644.740234,18299.710938,16274.339844,18117.220703,18117.220703,0
1995-08-31,18053.240234,18847.890625,17503.359375,17913.060547,17913.060547,0
1995-09-30,17921.380859,18547.429688,17337.189453,17654.640625,17654.640625,0
1995-10-31,17622.660156,18846.750000,17408.929688,18744.419922,18744.419922,0
1995-11-30,18752.189453,20023.519531,18695.890625,19868.150391,19868.150391,0
1995-12-31,19945.679688,21021.630859,19945.679688,20812.740234,20812.740234,0
1996-01-31,20806.359375,21156.769531,19878.910156,20125.369141,20125.369141,0
1996-02-29,20093.779297,21486.330078,19627.570313,21406.849609,21406.849609,0
1996-03-31,21451.070313,22347.869141,21349.679688,22041.300781,22041.300781,0
1996-04-30,22030.750000,22311.289063,21170.720703,21956.189453,21956.189453,0
1996-05-31,21970.560547,22750.699219,21588.519531,22530.750000,22530.750000,0
1996-06-30,22568.429688,22600.080078,20627.609375,20692.830078,20692.830078,0
1996-07-31,20665.189453,21398.009766,20092.240234,20166.900391,20166.900391,0
1996-08-31,20186.599609,21603.910156,19920.019531,21556.400391,21556.400391,0
1996-09-30,21532.539063,21788.580078,20449.990234,20466.859375,20466.859375,0
1996-10-31,20498.000000,21460.570313,20388.099609,21020.359375,21020.359375,0
1996-11-30,21034.939453,21067.679688,18819.919922,19361.349609,19361.349609,0
1996-12-31,19364.240234,19500.900391,17019.560547,18330.009766,18330.009766,0
1997-01-31,18307.949219,19229.490234,17792.470703,18557.000000,18557.000000,0
1997-02-28,18517.169922,18750.250000,17616.789063,18003.400391,18003.400391,0
1997-03-31,17934.789063,19194.820313,17447.640625,19151.119141,19151.119141,0
1997-04-30,19232.320313,20612.259766,19187.720703,20068.810547,20068.810547,0
1997-05-31,20083.509766,20910.789063,20040.699219,20604.960938,20604.960938,0
1997-06-30,20561.560547,20698.669922,19495.849609,20331.429688,20331.429688,0
1997-07-31,20344.630859,20399.140625,17973.900391,18229.419922,18229.419922,0
1997-08-31,18215.220703,18775.080078,17563.660156,17887.710938,17887.710938,0
1997-09-30,17820.380859,17936.859375,16082.320313,16458.939453,16458.939453,0
1997-10-31,16494.009766,17006.089844,14966.129883,16636.259766,16636.259766,0
1997-11-30,16593.509766,17117.779297,14488.209961,15258.740234,15258.740234,0
1997-12-31,15268.929688,17352.949219,14546.250000,16628.470703,16628.470703,0
1998-01-31,16685.009766,17256.240234,15932.469727,16831.669922,16831.669922,0
1998-02-28,16901.000000,17352.349609,16178.219727,16527.169922,16527.169922,0
1998-03-31,16433.369141,16623.779297,15334.469727,15641.259766,15641.259766,0
1998-04-30,15656.139648,15972.879883,15020.049805,15670.780273,15670.780273,0
1998-05-31,15670.730469,15830.469727,14614.740234,15830.269531,15830.269531,0
1998-06-30,15852.099609,16756.890625,15739.759766,16378.969727,16378.969727,0
1998-07-31,16303.599609,16303.599609,13792.759766,14107.889648,14107.889648,0
1998-08-31,13979.820313,15294.259766,13406.389648,13406.389648,13406.389648,0
1998-09-30,13377.240234,14742.440430,12787.900391,13564.509766,13564.509766,0
1998-10-31,13648.280273,15320.230469,13648.280273,14883.700195,14883.700195,0
1998-11-30,14821.530273,15011.089844,13657.030273,13842.169922,13842.169922,0
1998-12-31,13779.049805,14628.879883,13122.610352,14499.250000,14499.250000,0
